DATE,PAYNSA
1964-12-01,60198
1965-01-01,58561
1965-02-01,58676
1965-03-01,59119
1965-04-01,59891
1965-05-01,60442
1965-06-01,61319
1965-07-01,61167
1965-08-01,61455
1965-09-01,62006
1965-10-01,62245
1965-11-01,62465
1965-12-01,63141
1966-01-01,61529
1966-02-01,61707
1966-03-01,62354
1966-04-01,63096
1966-05-01,63645
1966-06-01,64784
1966-07-01,64470
1966-08-01,64678
1966-09-01,65082
1966-10-01,65337
1966-11-01,65508
1966-12-01,66051
1967-01-01,64439
1967-02-01,64377
1967-03-01,64741
1967-04-01,65144
1967-05-01,65540
1967-06-01,66451
1967-07-01,66015
1967-08-01,66262
1967-09-01,66549
1967-10-01,66684
1967-11-01,67210
1967-12-01,67758
1968-01-01,65853
1968-02-01,66203
1968-03-01,66553
1968-04-01,67260
1968-05-01,67581
1968-06-01,68617
1968-07-01,68199
1968-08-01,68397
1968-09-01,68826
1968-10-01,69187
1968-11-01,69509
1968-12-01,70085
1969-01-01,68494
1969-02-01,68712
1969-03-01,69208
1969-04-01,69799
1969-05-01,70285
1969-06-01,71363
1969-07-01,70746
1969-08-01,71024
1969-09-01,71235
1969-10-01,71601
1969-11-01,71630
1969-12-01,72041
1970-01-01,70229
1970-02-01,70332
1970-03-01,70786
1970-04-01,71105
1970-05-01,71123
1970-06-01,71766
1970-07-01,71000
1970-08-01,70900
1970-09-01,71257
1970-10-01,71022
1970-11-01,70983
1970-12-01,71564
1971-01-01,69922
1971-02-01,69844
1971-03-01,70209
1971-04-01,70795
1971-05-01,71287
1971-06-01,72006
1971-07-01,71194
1971-08-01,71298
1971-09-01,71931
1971-10-01,72180
1971-11-01,72479
1971-12-01,72880
1972-01-01,71481
1972-02-01,71668
1972-03-01,72261
1972-04-01,72894
1972-05-01,73525
1972-06-01,74507
1972-07-01,73502
1972-08-01,74054
1972-09-01,74612
1972-10-01,75290
1972-11-01,75704
1972-12-01,76078
1973-01-01,74613
1973-02-01,74989
1973-03-01,75544
1973-04-01,76132
1973-05-01,76712
1973-06-01,77630
1973-07-01,76691
1973-08-01,77095
1973-09-01,77682
1973-10-01,78306
1973-11-01,78707
1973-12-01,78839
1974-01-01,77045
1974-02-01,77163
1974-03-01,77485
1974-04-01,78035
1974-05-01,78637
